Date;Recip_County;Recip_State;Series_Complete_Pop_Pct;;;
11/18/2021;Hill County;TX;37,6;;;
11/18/2021;Livingston County;MI;56,5;;;
11/18/2021;Wise County;VA;42,6;;;
11/18/2021;Vermilion Parish;LA;34,7;;;
11/18/2021;Coffey County;KS;48,9;;;
11/18/2021;Wayne County;IA;38,8;;;
11/18/2021;Scott County;IN;41;;;
11/18/2021;Union County;FL;33,3;;;
11/18/2021;Madison County;KY;43,3;;;
11/18/2021;Phelps County;MO;40;;;
11/18/2021;Fairfield County;CT;73,2;;;
11/18/2021;Henderson County;TN;38,6;;;
11/18/2021;Miami County;IN;38,7;;;
11/18/2021;Cleveland County;OK;48,5;;;
11/18/2021;Tate County;MS;40,5;;;
11/18/2021;San Miguel County;NM;61,4;;;
11/18/2021;Malheur County;OR;42,8;;;
11/18/2021;Pittsburg County;OK;41,1;;;
11/18/2021;Ben Hill County;GA;14,4;;;
11/18/2021;Lake County;IL;68,2;;;
11/18/2021;Jackson County;TX;40,7;;;
11/18/2021;Beadle County;SD;44;;;
11/18/2021;Wright County;MO;33,6;;;
11/18/2021;Weston County;WY;32,9;;;
11/18/2021;McPherson County;KS;51,4;;;
11/18/2021;Highland County;VA;55,8;;;
11/18/2021;Letcher County;KY;49,4;;;
11/18/2021;St. John Island;VI;0;;;
11/18/2021;Grand County;CO;57,9;;;
11/18/2021;Holmes County;OH;16,8;;;
11/18/2021;Simpson County;MS;41;;;
11/18/2021;Orleans Parish;LA;62,9;;;
11/18/2021;Tishomingo County;MS;35,9;;;
11/18/2021;Franklin County;PA;46,8;;;
11/18/2021;Monroe County;NY;65,7;;;
11/18/2021;Washington County;TN;54,6;;;
11/18/2021;Cuming County;NE;48,3;;;
11/18/2021;Muskegon County;MI;50,7;;;
11/18/2021;Beaver County;PA;50,1;;;
11/18/2021;Rabun County;GA;27,6;;;
11/18/2021;Preble County;OH;39,5;;;
11/18/2021;Guanica Municipio;PR;63,9;;;
11/18/2021;Juab County;UT;32,6;;;
11/18/2021;Montgomery County;NY;61,1;;;
11/18/2021;Pulaski County;MO;56,1;;;
11/18/2021;Imperial County;CA;71,3;;;
11/18/2021;Bennington County;VT;38,6;;;
11/18/2021;Edwards County;KS;44,2;;;
11/18/2021;Madison County;MO;35,6;;;
11/18/2021;Granite County;MT;34,5;;;
11/18/2021;St. Lucie County;FL;53,2;;;
11/18/2021;Colonial Heights city;VA;36;;;
11/18/2021;Knox County;NE;45,6;;;
11/18/2021;Carroll County;OH;40,4;;;
11/18/2021;Napa County;CA;68,9;;;
11/18/2021;Carson County;TX;32,5;;;
11/18/2021;Comanche County;KS;43,1;;;
11/18/2021;Potter County;TX;40,5;;;
11/18/2021;Franklin County;NC;46;;;
11/18/2021;Van Buren County;IA;39,4;;;
11/18/2021;Bucks County;PA;66;;;
11/18/2021;Grant County;OK;39,5;;;
11/18/2021;Fannin County;TX;40;;;
11/18/2021;Monroe County;MI;52;;;
11/18/2021;Todd County;KY;38,4;;;
11/18/2021;Oconee County;GA;28,2;;;
11/18/2021;Ohio County;IN;70,4;;;
11/18/2021;Itasca County;MN;52,2;;;
11/18/2021;Allegan County;MI;47,8;;;
11/18/2021;Pecos County;TX;52,4;;;
11/18/2021;Van Wert County;OH;39,5;;;
11/18/2021;Nassau County;NY;72,8;;;
11/18/2021;Yukon-Koyukuk Census Area;AK;62,9;;;
11/18/2021;Boyd County;KY;43,3;;;
11/18/2021;Citrus County;FL;52,7;;;
11/18/2021;Uintah County;UT;36,5;;;
11/18/2021;Chattahoochee County;GA;99,9;;;
11/18/2021;Iberville Parish;LA;50,6;;;
11/18/2021;Yazoo County;MS;44,7;;;
11/18/2021;Roberts County;TX;29,9;;;
11/18/2021;Morgan County;IN;50;;;
11/18/2021;Morrill County;NE;32,1;;;
11/18/2021;Skagit County;WA;61,1;;;
11/18/2021;Jefferson County;KY;57,6;;;
11/18/2021;Macon County;AL;42,8;;;
11/18/2021;Butler County;NE;46,7;;;
11/18/2021;Decatur County;KS;37,5;;;
11/18/2021;Clayton County;GA;22;;;
11/18/2021;Lawrence County;SD;50,6;;;
11/18/2021;Berks County;PA;57;;;
11/18/2021;Lawrence County;IN;45,9;;;
11/18/2021;Grant County;OR;42,8;;;
11/18/2021;Karnes County;TX;51,8;;;
11/18/2021;Kershaw County;SC;52,5;;;
11/18/2021;Brown County;KS;54,7;;;
11/18/2021;Coamo Municipio;PR;64,3;;;
11/18/2021;Muhlenberg County;KY;47,1;;;
11/18/2021;Phillips County;MT;40;;;
11/18/2021;Whitley County;IN;44,3;;;
11/18/2021;Comanche County;TX;42;;;
11/18/2021;Gregory County;SD;45,7;;;
11/18/2021;Humboldt County;NV;38,1;;;
11/18/2021;Webster County;MS;44,7;;;
11/18/2021;Sherman County;NE;37,4;;;
11/18/2021;Jackson County;KY;32,9;;;
11/18/2021;Bureau County;IL;52,2;;;
11/18/2021;Cherokee County;KS;42;;;
11/18/2021;Winona County;MN;58,7;;;
11/18/2021;Tippah County;MS;38,6;;;
11/18/2021;Washington County;VA;53,1;;;
11/18/2021;Clay County;FL;45,1;;;
11/18/2021;Dickenson County;VA;42,7;;;
11/18/2021;Stafford County;VA;50;;;
11/18/2021;Morris County;TX;38,9;;;
11/18/2021;Howard County;MD;75,3;;;
11/18/2021;Sioux County;NE;23,2;;;
11/18/2021;Peoria County;IL;55,1;;;
11/18/2021;Dawson County;NE;43,1;;;
11/18/2021;Red Willow County;NE;34,1;;;
11/18/2021;Johnson County;KY;46,5;;;
11/18/2021;Jackson County;OH;42,4;;;
11/18/2021;Shawano County;WI;48,7;;;
11/18/2021;Cobb County;GA;40;;;
11/18/2021;Comal County;TX;54,3;;;
11/18/2021;Douglas County;OR;49,7;;;
11/18/2021;Wallace County;KS;34,6;;;
11/18/2021;Reeves County;TX;43,1;;;
11/18/2021;Polk County;MN;52,8;;;
11/18/2021;Grady County;OK;34,5;;;
11/18/2021;Comanche County;OK;55;;;
11/18/2021;Treasure County;MT;43,8;;;
11/18/2021;Green County;WI;58,3;;;
11/18/2021;Jeff Davis County;TX;48,9;;;
11/18/2021;Bailey County;TX;35,5;;;
11/18/2021;Foster County;ND;51;;;
11/18/2021;Nobles County;MN;54,8;;;
11/18/2021;Wilson County;TX;47,6;;;
11/18/2021;Chickasaw County;IA;50,7;;;
11/18/2021;Clarendon County;SC;42,9;;;
11/18/2021;Boone County;WV;30,8;;;
11/18/2021;Seminole County;GA;18,6;;;
11/18/2021;Coffee County;AL;36;;;
11/18/2021;Davis County;IA;34,1;;;
11/18/2021;Lincoln County;KY;37,3;;;
11/18/2021;Lewis and Clark County;MT;54;;;
11/18/2021;DuPage County;IL;68,6;;;
11/18/2021;Jefferson County;WI;52,2;;;
11/18/2021;Arecibo Municipio;PR;99,9;;;
11/18/2021;Scurry County;TX;43,1;;;
11/18/2021;Osborne County;KS;39,2;;;
11/18/2021;Live Oak County;TX;39,1;;;
11/18/2021;Pope County;AR;45,5;;;
11/18/2021;New Castle County;DE;60,7;;;
11/18/2021;Gray County;KS;40,5;;;
11/18/2021;Waller County;TX;37,5;;;
11/18/2021;Calhoun County;AL;42,7;;;
11/18/2021;Hancock County;IL;44,1;;;
11/18/2021;Placer County;CA;60,3;;;
11/18/2021;Clinton County;PA;40,8;;;
11/18/2021;Emmons County;ND;31,4;;;
11/18/2021;Boundary County;ID;30,2;;;
11/18/2021;Schuyler County;MO;26,4;;;
11/18/2021;Wright County;IA;52,9;;;
11/18/2021;Chariton County;MO;35,1;;;
11/18/2021;Union County;SD;46,4;;;
11/18/2021;Northampton County;PA;61,4;;;
11/18/2021;Mackinac County;MI;70,9;;;
11/18/2021;Crowley County;CO;20;;;
11/18/2021;Cleveland County;AR;48,3;;;
11/18/2021;Catahoula Parish;LA;37,1;;;
11/18/2021;Collier County;FL;65,1;;;
11/18/2021;Grant County;WV;13,7;;;
11/18/2021;Sutton County;TX;40,6;;;
11/18/2021;Cleveland County;NC;45;;;
11/18/2021;Unknown County;MI;0;;;
11/18/2021;Broadwater County;MT;30,2;;;
11/18/2021;Sullivan County;NY;54,8;;;
11/18/2021;Monterey County;CA;61,5;;;
11/18/2021;Lee County;MS;40,1;;;
11/18/2021;Saline County;NE;46,7;;;
11/18/2021;Tehama County;CA;37,1;;;
11/18/2021;Lowndes County;AL;43,6;;;
11/18/2021;Mercer County;NJ;62,4;;;
11/18/2021;Forest County;WI;55,3;;;
11/18/2021;Anderson County;TN;51,1;;;
11/18/2021;Chelan County;WA;64,5;;;
11/18/2021;Lyon County;NV;37,8;;;
11/18/2021;Pinellas County;FL;59,9;;;
11/18/2021;Kit Carson County;CO;35,2;;;
11/18/2021;Mississippi County;AR;36,9;;;
11/18/2021;Stillwater County;MT;39,2;;;
11/18/2021;Irwin County;GA;14,6;;;
11/18/2021;Unknown County;TX;0;;;
11/18/2021;Sullivan County;NH;57,9;;;
11/18/2021;Audrain County;MO;34,1;;;
11/18/2021;Jefferson County;IA;44,7;;;
11/18/2021;Callahan County;TX;34,2;;;
11/18/2021;Unknown County;MA;0;;;
11/18/2021;Wabash County;IL;44,2;;;
11/18/2021;Summit County;UT;77,3;;;
11/18/2021;Randolph County;MO;34,1;;;
11/18/2021;Ottawa County;KS;37,7;;;
11/18/2021;Kauai County;HI;0;;;
11/18/2021;Benton County;IN;39,1;;;
11/18/2021;Oglethorpe County;GA;27,4;;;
11/18/2021;Mineral County;CO;75,6;;;
11/18/2021;Fremont County;CO;39,6;;;
11/18/2021;Menifee County;KY;41,1;;;
11/18/2021;Edgecombe County;NC;43,2;;;
11/18/2021;Marion County;KY;45,5;;;
11/18/2021;Jefferson County;MO;40,1;;;
11/18/2021;Madison County;NE;41,8;;;
11/18/2021;Okeechobee County;FL;43;;;
11/18/2021;Pierce County;NE;34,8;;;
11/18/2021;Kootenai County;ID;39,7;;;
11/18/2021;Penobscot County;ME;64,9;;;
11/18/2021;Unknown County;IA;0;;;
11/18/2021;Becker County;MN;50;;;
11/18/2021;Baker County;OR;67;;;
11/18/2021;Floyd County;GA;18,8;;;
11/18/2021;Gwinnett County;GA;31,9;;;
11/18/2021;Dodge County;WI;47,4;;;
11/18/2021;Unknown County;OR;0;;;
11/18/2021;Lawrence County;MS;50,5;;;
11/18/2021;Bon Homme County;SD;52,5;;;
11/18/2021;Winnebago County;WI;55,7;;;
11/18/2021;Whiteside County;IL;53,3;;;
11/18/2021;Logan County;OH;39;;;
11/18/2021;Pike County;KY;49;;;
11/18/2021;Bedford County;TN;38,4;;;
11/18/2021;Benton County;TN;40,8;;;
11/18/2021;Dubuque County;IA;59,1;;;
11/18/2021;Mahnomen County;MN;54,7;;;
11/18/2021;Hinsdale County;CO;56,7;;;
11/18/2021;Pend Oreille County;WA;37;;;
11/18/2021;Logan County;IL;50;;;
11/18/2021;Petersburg city;VA;33,3;;;
11/18/2021;Mineral County;WV;34,7;;;
11/18/2021;Noble County;IN;36;;;
11/18/2021;La Salle Parish;LA;38,8;;;
11/18/2021;Grundy County;TN;28;;;
11/18/2021;York County;SC;43,5;;;
11/18/2021;Duval County;TX;55;;;
11/18/2021;Oneida County;WI;61,1;;;
11/18/2021;Winneshiek County;IA;57,4;;;
11/18/2021;Lawrence County;IL;38,8;;;
11/18/2021;King George County;VA;43,7;;;
11/18/2021;Westchester County;NY;71,3;;;
11/18/2021;Clayton County;IA;45;;;
11/18/2021;Aransas County;TX;52,2;;;
11/18/2021;Boone County;IN;64,3;;;
11/18/2021;Gratiot County;MI;42,4;;;
11/18/2021;Ashland County;WI;63,6;;;
11/18/2021;Itawamba County;MS;32,3;;;
11/18/2021;Clearwater County;ID;38,1;;;
11/18/2021;Rockingham County;VA;41,1;;;
11/18/2021;Colfax County;NM;57,2;;;
11/18/2021;Real County;TX;46,3;;;
11/18/2021;Pawnee County;KS;49,2;;;
11/18/2021;Frederick County;VA;44,9;;;
11/18/2021;Logan County;AR;42,7;;;
11/18/2021;Shelby County;MO;44,3;;;
11/18/2021;Murray County;OK;41,5;;;
11/18/2021;Lane County;KS;39;;;
11/18/2021;Darke County;OH;36;;;
11/18/2021;McLean County;IL;57,6;;;
11/18/2021;Gooding County;ID;36,6;;;
11/18/2021;Dillingham Census Area;AK;45,1;;;
11/18/2021;Morgan County;GA;24;;;
11/18/2021;Madison County;GA;23,3;;;
11/18/2021;Worcester County;MA;62,3;;;
11/18/2021;New London County;CT;72,3;;;
11/18/2021;Greeley County;KS;47,9;;;
11/18/2021;Dyer County;TN;36,6;;;
11/18/2021;Henry County;IN;48,5;;;
11/18/2021;Spalding County;GA;17,3;;;
11/18/2021;Baker County;FL;31,8;;;
11/18/2021;Osceola County;IA;42,3;;;
11/18/2021;Mineral County;MT;49,6;;;
11/18/2021;York County;VA;53,2;;;
11/18/2021;Prairie County;AR;39,4;;;
11/18/2021;Carroll County;MO;46;;;
11/18/2021;Gila County;AZ;53,3;;;
11/18/2021;Luzerne County;PA;58,8;;;
11/18/2021;Trempealeau County;WI;60;;;
11/18/2021;Cullman County;AL;35,4;;;
11/18/2021;San Miguel County;CO;75,4;;;
11/18/2021;Arenac County;MI;48,2;;;
11/18/2021;Trinity County;TX;36,4;;;
11/18/2021;Shelby County;IA;55,2;;;
11/18/2021;Pulaski County;VA;41,3;;;
11/18/2021;Henry County;KY;49;;;
11/18/2021;Perry County;MO;36,9;;;
11/18/2021;Delta County;MI;58,4;;;
11/18/2021;Cavalier County;ND;55,9;;;
11/18/2021;Tompkins County;NY;72;;;
11/18/2021;Kewaunee County;WI;48;;;
11/18/2021;Florence County;SC;49,6;;;
11/18/2021;St. Helena Parish;LA;28,1;;;
11/18/2021;Winnebago County;IL;51,8;;;
11/18/2021;Washita County;OK;36;;;
11/18/2021;Jefferson County;PA;46,5;;;
11/18/2021;Winchester city;VA;41,2;;;
11/18/2021;Columbia County;PA;58,7;;;
11/18/2021;Cheyenne County;NE;39,2;;;
11/18/2021;Jefferson County;ID;34,3;;;
11/18/2021;Brazoria County;TX;52,3;;;
11/18/2021;Crisp County;GA;19,6;;;
11/18/2021;Stevens County;KS;32,7;;;
11/18/2021;Haralson County;GA;15,7;;;
11/18/2021;Lake and Peninsula Borough;AK;51,8;;;
11/18/2021;Livingston County;KY;45,7;;;
11/18/2021;Unknown County;IL;0;;;
11/18/2021;Gaston County;NC;45,6;;;
11/18/2021;Northumberland County;PA;56,5;;;
11/18/2021;San Juan County;UT;53,5;;;
11/18/2021;San Juan County;NM;63,5;;;
11/18/2021;DeKalb County;TN;37,8;;;
11/18/2021;Carbon County;UT;42,9;;;
11/18/2021;Allendale County;SC;53,2;;;
11/18/2021;San Francisco County;CA;75,7;;;
11/18/2021;Alpine County;CA;0;;;
11/18/2021;Honolulu County;HI;0;;;
11/18/2021;Marion County;OR;57,4;;;
11/18/2021;Norton County;KS;49,2;;;
11/18/2021;Sullivan County;IN;46,2;;;
11/18/2021;Valley County;NE;30,3;;;
11/18/2021;Miami County;OH;43,5;;;
11/18/2021;Ohio County;KY;36,4;;;
11/18/2021;Richland County;MT;36,5;;;
11/18/2021;Blaine County;OK;42,9;;;
11/18/2021;Union County;TN;32,3;;;
11/18/2021;Sacramento County;CA;59,4;;;
11/18/2021;Franklin County;WA;46,2;;;
11/18/2021;Moniteau County;MO;33,5;;;
11/18/2021;Santa Rosa County;FL;46,1;;;
11/18/2021;Val Verde County;TX;58,9;;;
11/18/2021;Montour County;PA;72,8;;;
11/18/2021;Jessamine County;KY;48,6;;;
11/18/2021;Nolan County;TX;38,8;;;
11/18/2021;Storey County;NV;19;;;
11/18/2021;Covington County;MS;46,1;;;
11/18/2021;Guaynabo Municipio;PR;82,6;;;
11/18/2021;Fleming County;KY;46,8;;;
11/18/2021;Ward County;ND;41,5;;;
11/18/2021;White County;TN;39,6;;;
11/18/2021;Brown County;MN;60,5;;;
11/18/2021;Faulkner County;AR;44,2;;;
11/18/2021;Clay County;KS;52,9;;;
11/18/2021;Dallas County;IA;59,1;;;
11/18/2021;Riverside County;CA;52;;;
11/18/2021;Hancock County;IA;46,1;;;
11/18/2021;Mercer County;ND;35,9;;;
11/18/2021;Manati Municipio;PR;71,8;;;
11/18/2021;Inyo County;CA;0;;;
11/18/2021;Kittitas County;WA;49,8;;;
11/18/2021;Heard County;GA;14,4;;;
11/18/2021;Nicholas County;WV;30,7;;;
11/18/2021;Mayes County;OK;39,2;;;
11/18/2021;Anderson County;SC;37,1;;;
11/18/2021;Kennebec County;ME;64,6;;;
11/18/2021;Knott County;KY;44,5;;;
11/18/2021;Cheshire County;NH;57,6;;;
11/18/2021;Phillips County;CO;47,1;;;
11/18/2021;Madera County;CA;46,7;;;
11/18/2021;Adams County;CO;60,4;;;
11/18/2021;Lafayette County;AR;38,6;;;
11/18/2021;Fayette County;IN;36,3;;;
11/18/2021;Talladega County;AL;33,6;;;
11/18/2021;Cedar County;MO;30;;;
11/18/2021;Richardson County;NE;47,2;;;
11/18/2021;Unknown County;MO;0;;;
11/18/2021;Alamosa County;CO;50,7;;;
11/18/2021;Hardeman County;TN;41,8;;;
11/18/2021;Marion County;IN;50,7;;;
11/18/2021;Otero County;CO;43,9;;;
11/18/2021;Anderson County;KY;50,3;;;
11/18/2021;Montgomery County;AR;34,3;;;
11/18/2021;Fannin County;GA;21,8;;;
11/18/2021;Crawford County;IA;49,7;;;
11/18/2021;Unknown County;NE;0;;;
11/18/2021;Raleigh County;WV;22;;;
11/18/2021;Aguada Municipio;PR;66;;;
11/18/2021;Fajardo Municipio;PR;70,5;;;
11/18/2021;Haskell County;KS;35,2;;;
11/18/2021;Northwest Arctic Borough;AK;52;;;
11/18/2021;Crow Wing County;MN;52;;;
11/18/2021;Page County;IA;49,2;;;
11/18/2021;Beaver County;UT;42,1;;;
11/18/2021;Bennett County;SD;47,7;;;
11/18/2021;Bedford County;PA;35,5;;;
11/18/2021;Chambers County;AL;28,6;;;
11/18/2021;Culpeper County;VA;43,7;;;
11/18/2021;Garfield County;NE;27,7;;;
11/18/2021;Harrison County;MO;31;;;
11/18/2021;Cabell County;WV;22,5;;;
11/18/2021;Meade County;SD;50;;;
11/18/2021;Schoolcraft County;MI;52,8;;;
11/18/2021;Summit County;OH;57,1;;;
11/18/2021;Somerset County;ME;56,4;;;
11/18/2021;Glynn County;GA;45,8;;;
11/18/2021;Schuyler County;NY;57,8;;;
11/18/2021;Kalamazoo County;MI;56,8;;;
11/18/2021;Nelson County;ND;64,7;;;
11/18/2021;Culebra Municipio;PR;93,3;;;
11/18/2021;Adjuntas Municipio;PR;67,9;;;
11/18/2021;Buffalo County;WI;46,4;;;
11/18/2021;Independence County;AR;36,8;;;
11/18/2021;Holt County;MO;38,5;;;
11/18/2021;Hettinger County;ND;36,3;;;
11/18/2021;Hancock County;GA;15,1;;;
11/18/2021;Vinton County;OH;36,2;;;
11/18/2021;Unknown County;NV;0;;;
11/18/2021;Pittsylvania County;VA;39,5;;;
11/18/2021;Stone County;MO;35,6;;;
11/18/2021;Douglas County;WI;39,4;;;
11/18/2021;Santa Cruz County;AZ;92,4;;;
11/18/2021;Osage County;KS;46,6;;;
11/18/2021;Marshall County;IA;59,4;;;
11/18/2021;Pickett County;TN;41;;;
11/18/2021;Sonoma County;CA;69,6;;;
11/18/2021;Guayanilla Municipio;PR;73,3;;;
11/18/2021;Jackson County;KS;58;;;
11/18/2021;Johnson County;IA;65,5;;;
11/18/2021;Bent County;CO;24,1;;;
11/18/2021;Isanti County;MN;38,6;;;
11/18/2021;New Kent County;VA;48,6;;;
11/18/2021;Scott County;MN;62,2;;;
11/18/2021;Rosebud County;MT;76,3;;;
11/18/2021;Clark County;ID;34,6;;;
11/18/2021;Greene County;AR;39,5;;;
11/18/2021;Dallas County;AR;52,4;;;
11/18/2021;Hamilton County;IN;65,1;;;
11/18/2021;Clinton County;IL;52,2;;;
11/18/2021;Rio Grande County;CO;56,8;;;
11/18/2021;Mason County;KY;46,5;;;
11/18/2021;Jefferson Davis Parish;LA;33,8;;;
11/18/2021;Muscatine County;IA;55,1;;;
11/18/2021;Lincoln County;WA;49,4;;;
11/18/2021;Gentry County;MO;40,2;;;
11/18/2021;St. John the Baptist Parish;LA;53,2;;;
11/18/2021;Motley County;TX;25,2;;;
11/18/2021;Perkins County;NE;37;;;
11/18/2021;Herkimer County;NY;54,1;;;
11/18/2021;Bradley County;AR;52,1;;;
11/18/2021;Mifflin County;PA;50;;;
11/18/2021;Richland County;OH;40,1;;;
11/18/2021;Minnehaha County;SD;58,7;;;
11/18/2021;Boise County;ID;29,4;;;
11/18/2021;Towner County;ND;43,5;;;
11/18/2021;Lauderdale County;TN;34,5;;;
11/18/2021;Madison County;TX;36,7;;;
11/18/2021;Howell County;MO;30,1;;;
11/18/2021;Ottawa County;OH;57;;;
11/18/2021;Cortland County;NY;54,3;;;
11/18/2021;Sac County;IA;49,3;;;
11/18/2021;Unicoi County;TN;50,1;;;
11/18/2021;Martinsville city;VA;39,1;;;
11/18/2021;Scott County;AR;43,8;;;
11/18/2021;Bradford County;FL;39;;;
11/18/2021;Wayne County;IN;45,3;;;
11/18/2021;Jenkins County;GA;23;;;
11/18/2021;Unknown County;LA;0;;;
11/18/2021;Oceana County;MI;50,4;;;
11/18/2021;Somerset County;NJ;67,8;;;
11/18/2021;Bartholomew County;IN;54,4;;;
11/18/2021;Sheridan County;MT;45,4;;;
11/18/2021;Rowan County;NC;40,1;;;
11/18/2021;Bayfield County;WI;75,5;;;
11/18/2021;Colorado County;TX;47,4;;;
11/18/2021;Morton County;KS;37,3;;;
11/18/2021;Rice County;MN;57,7;;;
11/18/2021;Greene County;VA;44,9;;;
11/18/2021;Suffolk city;VA;47;;;
11/18/2021;Ralls County;MO;26,3;;;
11/18/2021;Lafayette County;MS;50,7;;;
11/18/2021;Greenville County;SC;49,6;;;
11/18/2021;Jewell County;KS;42,4;;;
11/18/2021;Essex County;MA;66,1;;;
11/18/2021;Perry County;PA;48,2;;;
11/18/2021;Craig County;VA;31,9;;;
11/18/2021;Blanco County;TX;48,7;;;
11/18/2021;Los Angeles County;CA;63,3;;;
11/18/2021;Manassas Park city;VA;41,8;;;
11/18/2021;Bell County;TX;53,7;;;
11/18/2021;Stone County;MS;41,4;;;
11/18/2021;Morris County;NJ;70,7;;;
11/18/2021;Montgomery County;VA;43,3;;;
11/18/2021;Lee County;KY;45,9;;;
11/18/2021;Monmouth County;NJ;61,7;;;
11/18/2021;St. Charles County;MO;55,7;;;
11/18/2021;Crook County;WY;26,4;;;
11/18/2021;Platte County;NE;42,2;;;
11/18/2021;Grady County;GA;20,2;;;
11/18/2021;La Paz County;AZ;43,6;;;
11/18/2021;Arroyo Municipio;PR;66,8;;;
11/18/2021;Rock Island County;IL;54,7;;;
11/18/2021;Warren County;NY;71;;;
11/18/2021;Robertson County;TX;40,5;;;
11/18/2021;Pettis County;MO;39,1;;;
11/18/2021;Crawford County;PA;46,7;;;
11/18/2021;Campbell County;VA;38,6;;;
11/18/2021;Delaware County;OH;66,8;;;
